"X","Y","pH60_100cm","Terrain_Ruggedness_Index","AACN","Landsat_Band1","Elevation","Hillshading","Light_insolation","Mid_Slope_Positon","MRVBF","NDVI","TWI","Slope","residual","looResiduals"
341149,6366301,8.855473,9.258307,81.199417,40,184.589798,15.602757,1535.61157,0.673255,0.003648,-0.333333,9.160276,11.191063,0.572856035500013,0.920287837740158
340948,6366004,7.578766,3.019687,29.324242,47,134.9198,3.447534,1652.14917,0.859297,1.934003,-0.142857,14.276061,3.354082,-0.328807018047617,-0.662763234151592
342487.727,6366543.18,5.998577,2.597641,22.137123,42,112.203499,3.45214,1675.36292,0.277517,0.519012,-0.318681,12.936517,3.160541,0.222983509566665,0.605207882856011
342012.3,6367996.2,8.798257,3.988874,16.745354,54,105.008499,4.181658,1764.97974,0.065617,0.165909,-0.136,13.959808,4.568741,1.43033027618331,2.88877706503453
340757,6365371,5.536224,7.971373,34.954765,49,142.100494,7.992149,1866.54492,0.180795,0.025673,-0.275862,11.356912,11.756063,-0.195186482250005,-0.387263603295438
342651.3,6367917.7,6.395936,2.99932,34.094933,68,117.387001,2.502032,1706.33569,0.685475,0.108651,-0.173913,11.178145,2.889878,0.186286561816693,0.462644596794292
340775.7,6367841.1,4.918793,4.029164,40.902046,43,143.653305,4.112856,1689.48584,0.664563,0.451598,-0.384615,9.934639,3.738008,-0.286365293483324,-0.525133922080385
343190.219,6367071.88,5.284704,2.859868,14.27182,53,97.463997,4.868416,1661.35571,0.261354,0.395528,-0.211009,13.675426,4.274329,-0.45423894233332,-1.16868882709596
340409,6366457,6.08887,6.808073,79.836273,55,192.246506,4.021525,1781.29907,0.7424,0.050838,-0.222222,9.598947,4.565361,-0.272934347666642,-0.515988506937218
340603.9,6367518.9,7.884059,5.265843,53.895836,55,161.510498,1.008939,1713.953,0.871276,0.005032,-0.176471,10.17097,1.024891,0.649288106514289,1.33526176627583
341748.849,6366548.02,5.09392,3.913908,22.768509,40,119.509499,5.055874,1628.37659,0.367575,0.618763,-0.311111,12.228954,4.534805,-0.312874752900004,-1.26210279429906
339288.804,6370121.69,7.498736,6.08864,38.338371,54,151.447998,3.054652,1700.42444,0.84949,0.037884,-0.166667,9.707136,2.878451,0.209474957283359,0.478089964284649
339324.692,6370090.42,5.58152,4.219439,30.608879,60,143.089005,10.931662,1662.95679,0.767335,0.226658,-0.166667,9.44339,8.714214,-0.646066484049985,-1.71781244235216
339134.462,6370187.03,6.503709,3.213943,38.67144,46,153.587204,0.575164,1702.23413,0.81079,0.032607,-0.12,10.836374,0.590264,-0.166106004916649,-0.529723410600497
341512.9,6367366.1,8.342749,5.194337,21.180984,37,117.684502,2.889691,1724.27344,0.575694,0.62225,-0.131579,14.474395,3.541892,0.561165252499992,1.13507607988239
341500.12,6368620.93,5.28574,4.141707,26.637939,54,116.085297,7.049072,1626.77954,0.35676,0.290369,-0.171171,10.695197,5.843255,-0.328354614916662,-0.471032284172193
340795,6366193,7.425008,6.918769,34.53183,57,141.980698,4.859183,1650.66113,0.852075,1.462162,-0.205882,13.499551,4.257904,0.182844009549987,0.281775949325881
339561.497,6368966.24,4.528421,5.284858,14.489105,55,124.947998,6.009579,1784.83923,0.34055,0.01896,-0.176471,13.794943,10.962539,-0.54877481734999,-1.05549298196829
341682.835,6369592.36,6.383551,0.896291,0,57,82.626503,0.315174,1699.1134,0.94865,3.954686,-0.192982,19.789326,0.326092,-0.424610492766658,-1.11188647920785
340496,6364851,6.951089,9.707562,73.828003,52,182.449493,20.067949,1623.63013,0.716053,0.00064,-0.232,8.636006,14.431437,-0.230936023733349,-0.278562346313439
341057.296,6366870.76,5.001505,6.059283,40.947975,56,144.583694,4.942728,1808.22546,0.220614,0.170383,-0.186992,10.319652,6.732887,-0.513818944766692,-1.39188482688476
340557.011,6368181.38,5.47898,4.318145,23.08564,54,126.0243,3.649967,1770.14148,0.505313,0.227536,-0.168142,11.910956,4.835207,-0.0903604858666496,-0.00832611420333507
342376.3,6367129.2,6.576449,2.827156,23.341179,52,112.327003,2.326499,1749.0155,0.374271,1.968464,-0.176471,13.683591,2.722743,0.427860837599979,0.887328104335163
339859.8,6369065.5,5.021098,3.503961,11.808784,62,117.0327,4.120235,1759.23645,0.316195,0.809049,-0.149606,14.523517,4.387259,-0.439051496183335,-0.915015743824803
340425.519,6367780.78,5.913864,4.340657,30.880196,48,139.156296,4.326029,1778.24011,0.467905,0.491747,-0.100917,10.651796,4.89188,-0.198451531800014,-0.244763829274424
340428,6365832,7.775964,9.903197,54.39949,56,164.826797,9.039338,1761.70496,0.724064,0.544407,-0.1875,11.240014,8.52406,0.268790842116638,0.784492601737017
339306.358,6370105.59,8.485239,5.80475,36.546936,57,149.373001,9.596233,1690.23254,0.795759,0.030759,-0.224806,9.015413,7.994323,0.712880802333373,1.69069367828562
342511,6366870,5.30926,2.686643,37.487602,41,126.377701,3.078206,1758.60669,0.77952,0.253491,-0.372093,10.808945,3.428367,-0.179268553333335,-0.441034477507216
341439,6365239,6.444192,5.465148,12.023315,54,114.127502,1.725424,1683.12647,0.825316,2.479048,-0.235772,17.798281,1.677924,-0.10913073006665,-0.474802407149635
341435.063,6369564.6,9,2.020484,0.021133,57,86.301498,1.061437,1719.04211,0.941863,3.926796,-0.1875,19.137453,1.121679,0.882469136833326,2.15908886720978
340349.017,6368575.4,8.318968,1.209126,0.686775,47,103.362999,1.416179,1706.62293,0.903245,3.761187,-0.333333,18.09609,1.419234,1.01294729213338,2.58821990185526
